GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37129012010,37,129,12010,-0.638736887,1.613503116,84.03157781,140.3375779
37129012011,37,129,12011,-0.293580936,1.961230775,92.6604766,149.0307694
37129012012,37,129,12012,-1.15950583,1.493293885,71.01235425,137.3323471
37129012103,37,129,12103,-0.639616685,1.737454551,84.00958287,143.4363638
37129012106,37,129,12106,-1.580947495,1.003997538,60.47631262,125.0999384
37129012107,37,129,12107,-1.81976233,1.352671449,54.50594175,133.8167862
37129012108,37,129,12108,-1.585014572,1.282719999,60.3746357,132.068
37129012109,37,129,12109,-1.059421523,1.40714091,73.51446191,135.1785227
37129012110,37,129,12110,-0.58959646,1.712944468,85.26008851,142.8236117
37129012201,37,129,12201,-0.76178859,2.027589495,80.95528525,150.6897374
37129012202,37,129,12202,-1.461406413,1.46170616,63.46483967,136.542654
37129012300,37,129,12300,-1.928453984,0.885400568,51.78865039,122.1350142
37133000105,37,133,105,-1.627952659,2.531756536,59.30118354,163.2939134
37133000204,37,133,204,-4.979990666,-0.033009553,-24.49976665,99.17476118
37133000404,37,133,404,-6.405542665,0.244556899,-60.13856663,106.1139225
37133000600,37,133,600,-4.81463411,1.538797019,-20.36585274,138.4699255
37133000700,37,133,700,-2.773842633,2.13951137,30.65393418,153.4877843
37133000800,37,133,800,-1.801610558,1.96436159,54.95973605,149.1090398
37133000901,37,133,901,-1.826913106,2.081552752,54.32717236,152.0388188
37133000902,37,133,902,-1.639913606,2.747961628,59.00215985,168.6990407
37133001000,37,133,1000,-2.239104737,2.870397423,44.02238158,171.7599356
37133001102,37,133,1102,-2.192694746,1.875252448,45.18263135,146.8813112
37133001201,37,133,1201,-2.612018269,1.107034138,34.69954328,127.6758534
37133001301,37,133,1301,-1.148642413,2.543178992,71.28393968,163.5794748
37133001303,37,133,1303,-0.942022453,2.952274692,76.44943867,173.8068673
37133001400,37,133,1400,-1.328036724,2.618372845,66.79908189,165.4593211
37133001500,37,133,1500,-0.813471797,2.925431259,79.66320508,173.1357815
37133001700,37,133,1700,-0.831702306,2.968350173,79.20744235,174.2087543
37133001800,37,133,1800,-0.703681996,3.514876945,82.40795011,187.8719236
37133002201,37,133,2201,-1.507117816,2.302340179,62.32205459,157.5585045
37133002202,37,133,2202,-1.300840701,2.579737272,67.47898247,164.4934318
37133002300,37,133,2300,-2.891808471,1.541502639,27.70478823,138.537566
37133002400,37,133,2400,-2.535626665,1.666213199,36.60933338,141.65533
37133002600,37,133,2600,-0.867200818,3.253553446,78.31997956,181.3388362
37133002801,37,133,2801,-3.858468311,0.609016644,3.538292221,115.2254161
37133002803,37,133,2803,-3.245521295,1.583499921,18.86196762,139.587498
37135010705,37,135,10705,0.892980838,-0.33444959,122.3245209,91.63876026
37135010706,37,135,10706,0.243162925,-0.761619518,106.0790731,80.95951204
37135010707,37,135,10707,0.934750836,-0.194631493,123.3687709,95.13421268
37135010708,37,135,10708,0.924632638,0.10918976,123.1158159,102.729744
37135011001,37,135,11001,-0.225693479,-0.868969954,94.35766302,78.27575114
37135011002,37,135,11002,0.218563251,-0.522821461,105.4640813,86.92946347
37135011105,37,135,11105,-0.8412666,-1.373811386,78.968335,65.65471534
37135011206,37,135,11206,0.581300595,-0.087007292,114.5325149,97.82481769
37135011207,37,135,11207,0.288066536,-0.435909568,107.2016634,89.10226081
37135011300,37,135,11300,1.074600038,0.062424852,126.865001,101.5606213
37135011400,37,135,11400,0.962527268,-0.010254615,124.0631817,99.74363462
37135011500,37,135,11500,0.777793943,0.084284305,119.4448486,102.1071076
37135011602,37,135,11602,0.844047839,0.416784489,121.101196,110.4196122
37135011700,37,135,11700,0.666540852,0.014682293,116.6635213,100.3670573
37135011800,37,135,11800,0.518512939,-0.265345683,112.9628235,93.36635792
37135011902,37,135,11902,0.577636535,-0.264672806,114.4409134,93.38317985
37135011903,37,135,11903,0.478655618,-0.591427097,111.9663905,85.21432258
37135011904,37,135,11904,0.887439778,-0.053137811,122.1859944,98.67155472
37135012101,37,135,12101,0.699168159,0.070537034,117.479204,101.7634259
37135012102,37,135,12102,0.461775148,-0.171448627,111.5443787,95.71378432
37135012103,37,135,12103,0.606600532,-0.113541812,115.1650133,97.16145469
37135012201,37,135,12201,-0.565900022,-1.149561298,85.85249946,71.26096754
37135012202,37,135,12202,0.375156706,-0.447519596,109.3789177,88.81201011
37139960100,37,139,960100,-0.959463477,4.096743402,76.01341307,202.4185851
37139960200,37,139,960200,-1.55056665,3.886489898,61.23583376,197.1622475
37139960300,37,139,960300,-1.242085707,4.2599577,68.94785733,206.4989425
37139960400,37,139,960400,-1.007564871,4.141787626,74.81087822,203.5446906
37141920201,37,141,920201,-2.271413548,1.045231827,43.2146613,126.1307957
37141920202,37,141,920202,-2.550583506,0.441571649,36.23541234,111.0392912
37145920300,37,145,920300,0.223757995,0.375753312,105.5939499,109.3938328
37147000101,37,147,101,0.55495797,2.235753381,113.8739493,155.8938345
37147000102,37,147,102,0.551607861,2.376225407,113.7901965,159.4056352
37147000201,37,147,201,0.241171705,2.180105571,106.0292926,154.5026393
37147000202,37,147,202,0.213946542,2.340208131,105.3486636,158.5052033
37147000301,37,147,301,-0.1642835,1.677502712,95.89291249,141.9375678
37147000303,37,147,303,-0.131783722,1.877241313,96.70540695,146.9310328
37147000304,37,147,304,-0.437302523,1.143287768,89.06743692,128.5821942
37147000400,37,147,400,0.226549484,2.064187507,105.6637371,151.6046877
37147000501,37,147,501,0.162418636,1.61390981,104.0604659,140.3477453
37147000503,37,147,503,-0.203160957,1.740809639,94.92097608,143.520241
37147000504,37,147,504,-0.139823145,1.529207069,96.50442137,138.2301767
37147000602,37,147,602,-0.001267678,1.797202039,99.96830806,144.930051
37147000604,37,147,604,-0.089146434,1.54996224,97.77133915,138.749056
37147000605,37,147,605,0.033698418,1.873149819,100.8424605,146.8287455
37147000606,37,147,606,-0.186169197,1.182505674,95.34577009,129.5626419
37147000607,37,147,607,-0.666183759,1.195834656,83.34540603,129.8958664
37147000701,37,147,701,0.606477141,2.003089486,115.1619285,150.0772372
37147000702,37,147,702,0.497006841,2.225560476,112.425171,155.6390119
37147000800,37,147,800,0.063617407,1.779529501,101.5904352,144.4882375
37147001003,37,147,1003,-1.258162097,0.632199927,68.54594757,115.8049982
37147001301,37,147,1301,-0.898846353,0.847181543,77.52884118,121.1795386
37147001302,37,147,1302,-0.414697647,1.074819755,89.63255882,126.8704939
37147001305,37,147,1305,-0.768268812,0.85717405,80.79327969,121.4293513
37151030100,37,151,30100,0.491924577,0.535413487,112.2981144,113.3853372
37151030201,37,151,30201,0.864317397,0.827865489,121.6079349,120.6966372
37151030202,37,151,30202,-0.323391696,-0.26697911,91.91520761,93.32552226
37151030301,37,151,30301,0.208780001,-0.17939315,105.2195,95.51517125
37151031303,37,151,31303,-1.786188792,-1.573576109,55.34528021,60.66059728
37151031401,37,151,31401,0.081877393,-0.551671416,102.0469348,86.20821459
37151031402,37,151,31402,0.294766425,-0.289737851,107.3691606,92.75655372
37151031501,37,151,31501,-2.257379845,-2.265806656,43.56550388,43.35483361
